,,TOOL STORE STOCK INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,,5293,,,,,,,,,,11/01/2024,,,,12/01/2024,,,,01/01/2025,,,,02/01/2025,,,,03/01/2025,,,,04/01/2025,,,,05/01/2025,,,,06/01/2025,,,,07/01/2025,,,,08/01/2025,,,,09/01/2025,,,,10/01/2025,,,,11/01/2025,,,,12/01/2025,,,,01/01/2026,,,,02/01/2026,,,,,03/01/2026,,,
,S.No.,"M/C 
Name","Part
Size","Pitch
(mm)",Wire Dia,Part Name,,,,,,,,,,,,,,,,,,STN,Tool Family Code,Tool Description,Tool Code,Marking,A/F,"Length
(mm) ",I/D (mm),,O/D (mm),,"Carbide Dia
(mm)","Pointing Length 
(mm)",,"Depth
(mm)","Tool
Mtrl.",Assumed Life,Actual Life,Rng Stock,"Location 
(RaN-RoN-BN)",Spare Stock,"Location 
(RaN-RoN-BN)",Min. Qty.,Max. Qty.,Total Prod. Plan Qty.,Forgb. Qty.,Reqd. Qty.,Last Physical Stock Checked On,Remarks,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock
,,,,,,HHB,HHS,SHCB,SHCS,HFB,HFS,FLG,SHFS,SHFB,TRXS,AXB,BHCS,DDB,SQB,THS,NIB,PINS,SSS,,,,,,,,FRONT,BACK,FRONT,BACK,,FRONT,BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,254LL,M27,3,,a,a,,,,,,,,,,,,,,,,,3,021,Heading Insert,T.05.0.021.012/00,PPL 8.8,,40,,,64,,,,,,,,,1,,6,TSR-07-D,5,10,,,,05/03/2025,,,,,,,,,,,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,,6,0,0,6
,,254LL,M27,3,,a,a,,,,,,,,,,,,,,,,,3,021,Heading Insert,T.05.0.021.013/00,PPL 10.9,,40,,,64,,,,,,,,,1,,6,TSR-07-D,5,10,,,,05/03/2025,,,,,,,,,,,6,0,2,4,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,,6,0,0,6
,,254LL,M27,3,,a,,,,,,,,,,,,,,,,,,3,021,Over Hang Punch Insert,T.05.0.021.004/00,,36,30,,,60,,,,,,,,,1,,1,TSR-07-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,0,0,1
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,2,022,Sleeve,,,,25,18,,31,,,,,,,,,1,,21,TSL-C-05,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,19,19,0,2,17,17,0,3,14,14,0,0,14,14,0,0,14,14,0,0,14,14,0,0,14,14,0,2,12,12,10,1,21,21,0,0,21,21,0,0,21,,21,0,0,21
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,2,022,Sleeve,,,,25,23,,31,,,,,,,,,1,,28,TSL-C-05,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,1,1,20,1,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,1,19,19,0,0,19,19,0,0,19,19,0,0,19,19,10,1,28,28,0,0,28,28,0,0,28,,28,0,0,28
,,164S,M10,1.25,13.65,,,,,,,a,,,,,,,,,,,,4,022,Sleeve,T.04.0.022.045/00,,,,,,,,,,,,,50000,45000,1,,3,TSL-B-08,2,5,200000,135000,1.44444444444444,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,0,1,19,19,0,1,18,18,0,3,15,15,0,6,9,9,0,5,4,4,5,2,7,7,0,3,4,4,0,0,4,4,0,1,3,3,0,0,3,,3,0,0,3
,,164S,M16,1.5,17.65,,,,,,,a,,,,,,,,,,,,4,022,Sleeve,T.04.0.022.046/00,,,,,,,,,,,,,,,1,,0,TSL-B-03,2,5,100000,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20,0,20,20,0,0,20,20,0,11,9,9,0,9,0,0,5,1,4,4,0,0,4,4,5,3,6,6,0,1,5,5,0,1,4,4,0,2,2,2,0,2,0,,0,0,0,0
,,254LL,M24,3,,a,a,,,,,,,,,,,,,,,,,4,022,Sleeve,T.04.0.022.002/00,,,,,,,,,,,,,,,1,,0,TSR-08-D,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,"5/8""",UNC,,a,,,,,,,,,,,,,,,,,,3,022,Die Case Spacer Sleeve,T.04.0.022.050/00,,,,,,,,,,,,,,,1,,2,TSR-06-E,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,164S,"5/8""",UNC,,a,,,,,,,,,,,,,,,,,,4,022,Die Case Spacer Sleeve,T.04.0.022.051/00,,,,,,,,,,,,,,,1,,2,TSR-06-E,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,64S,M5,0.8,5.2,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,T.01.0.031.005/00,,8,16,,,27,,,,,,,20000,,1,,8,TSB,5,20,100000,,,08/20/2025,,,25,0,7,18,18,0,0,18,18,0,2,16,16,0,1,15,15,0,2,13,13,0,0,13,13,0,0,13,13,0,3,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,0,10,10,0,2,8,,8,0,0,8
,,64S,M6,1,5.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,10,16,,,27,,,,,,,,,1,,0,TSB,5,20,100000,,,08/20/2025,,,12,0,8,4,4,0,1,3,3,0,2,1,1,10,7,4,4,0,4,0,0,10,0,10,10,0,0,10,10,0,10,0,0,0,0,0,0,10,0,10,10,0,0,10,10,0,0,10,10,0,4,6,6,0,3,3,3,0,0,3,3,0,2,1,,1,0,1,0
,,64S,M6,1,5.7,,,,,,,,a,,,,,,,,,,,3,031,Trim Dies,,,10,16,,,27,,,,,,,,,1,,0,TSB,5,20,100000,,,08/20/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M6,1,,,,,,,,,a,,,,,,,,,,,4,031,Collar Trim Dies,,,,16,,,27,,,,,,,,,1,,2,TSB,5,20,100000,,,08/20/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,4,4,0,0,4,4,0,2,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,64S,M6,1,,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,11,16,,,27,,,,,,,,,0,,5,TSL-C-05,5,20,,,,08/20/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,,5,0,0,5
,,84S,M8,1.25,7.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,12,16,,,27,,,,,,,30000,,1,,8,TSB,5,20,100000,,,08/20/2025,,,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,3,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,8,0,0,8,,8,0,0,8
,,84S,M8,1.25,7.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,T.02.0.031.001/00,,13,16,,,27,,,,,,,30000,,1,,7,TSB,5,20,100000,,,08/20/2025,,,13,0,0,13,13,0,2,11,11,0,2,9,9,0,2,7,7,0,5,2,2,0,1,1,1,10,0,11,11,0,6,5,5,0,2,3,3,10,0,13,13,0,0,13,13,0,3,10,10,0,2,8,8,0,0,8,8,0,0,8,8,0,0,8,,8,0,1,7
,,84S,M8,1.25,,,,,,,,,,,,,,a,,,,,,4,031,Trim Dies,T.02.1.031.003/00,,16,16,,,27,,,,,,,,,1,,6,TSB,5,20,100000,,,08/20/2025,,,10,0,4,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,6,0,0,6,,6,0,0,6
,,84S,M8,1.25,,,,,,,,,,,,,,a,,,,,,4,031,Trim Dies,,,19,16,,,27,,,,,,,,,1,,20,TSB,5,20,100000,,,08/20/2025,,,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,20,0,0,20,,20,0,0,20
,,84S,M8,1.25,,,,,,,,,,,,,,,a,,,,,4,031,Trim Dies,T.02.0.031.003/00,,12,16,,,32,,,,,,,,,1,,25,TSB,5,20,100000,,,08/20/2025,,,3,0,1,2,2,0,1,1,1,20,1,20,20,10,22,8,8,0,8,0,0,20,16,4,4,10,14,0,0,10,10,0,0,11,0,11,11,20,22,9,9,0,3,6,6,0,1,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,,5,20,0,25
,,84S,"5/16""",,7.05,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,12.5,,,,,,,,,,,,,1,,8,TSB,5,20,100000,,,08/20/2025,,,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,10,4,8
,,6L4S,M10,1.5,9.7,,,,,,,,,,,a,,,,,,,,4,031,Trim Dies,,,14,16,,,27,,,,,,,,,1,,2,TSB,5,20,,,,08/20/2025,,,,,,,,,,,,,,,,,,,3,0,0,3,3,0,0,3,3,0,1,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,6L4S,M10,1.5,,,,,,,,,,,,a,,,,,,,,4,031,Collar Trim Dies,T.03.0.031.007/00,,13,16,,,32,,,,,,,,,1,,18,TSL-B-07,5,20,100000,,,08/20/2025,,,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,,18,0,0,18
,,6L4S,M10,1.5,9.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,16,16,,,32,,,,,,,20000,,1,,5,TSB,5,20,100000,,,08/20/2025,,,7,0,0,7,7,0,2,5,5,0,2,3,3,0,3,0,0,0,0,0,0,10,1,9,9,0,2,7,7,0,0,7,7,0,0,7,7,10,5,12,12,0,1,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,3,8,,8,0,3,5
,,6L4S,M10 ,1.5,9.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,17,16,,,32,,,,,,,20000,,1,,4,TSB,5,20,100000,,,08/20/2025,,,3,5,8,0,0,15,5,10,10,0,3,7,7,0,3,4,4,0,2,2,2,10,3,9,9,0,1,8,8,0,1,7,7,0,0,7,7,10,1,16,16,0,2,14,14,0,1,13,13,0,1,12,12,0,3,9,9,0,0,9,9,0,3,6,,6,0,2,4
,,6L4S,"3/8""",,9.7,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,16,19,,,38,,,,,,,,,1,,3,TSB,5,20,100000,,,08/20/2025,,,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,,3,0,0,3
,,164S,M10,1.25,13.65,,,,,,,a,,,,,,,,,,,,4,031,Trim Dies,T.04.1.031.014/00,,17,19,,,38,,,,,,,10000,8000,1,,15,TSL-B-08,5,20,200000,120000,10,08/20/2025,,,3,10,11,2,2,10,12,0,0,10,1,9,9,52,4,57,57,0,11,46,46,0,9,37,37,0,12,25,25,0,11,14,14,0,9,5,5,10,8,7,7,0,7,0,0,0,0,0,0,10,8,2,2,10,4,8,8,0,10,-2,-2,13,6,5,,5,15,5,15
,,164S,M10,1.25,13.65,,,,,,,a,,,,,,,,,,,,4,031,Collar Trim Dies,,,30,19,,,45,,,,,,,,,1,,0,TSL-B-08,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M10,1.25,13.65,,,,,,,a,,,,,,,,,,,,4,031,Collar Trim Dies,,,32,19,,,45,,,,,,,,,1,,0,TSL-B-08,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M12,"1.5, 1.75",11.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,18,19,,,38,,,,,,,,,1,,32,TSB,5,20,100000,,,08/20/2025,,,50,0,1,49,49,0,0,49,49,0,1,48,48,0,1,47,47,0,2,45,45,0,2,43,43,0,0,43,43,0,0,43,43,0,4,39,39,0,0,39,39,0,0,39,39,0,1,38,38,0,0,38,38,0,0,38,38,0,0,38,38,0,4,34,,34,0,2,32
,,164S,M12,"1.5, 1.75",11.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,19,19,,,38,,,,,,,,,1,,21,TSB,5,20,100000,,,08/20/2025,,,42,0,1,41,41,0,1,40,40,0,2,38,38,0,1,37,37,0,2,35,35,0,1,34,34,0,1,33,33,0,0,33,33,0,0,33,33,0,0,33,33,0,0,33,33,0,4,29,29,0,0,29,29,0,0,29,29,0,0,29,29,0,5,24,,24,0,3,21
,,164S,M14,"1.5, 2",13.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,21,22,,,44.47,,,,,,,,,1,,1,TSB,5,20,100000,,,08/20/2025,,,10,0,0,10,10,0,0,10,10,0,1,9,9,0,1,8,8,0,1,7,7,0,0,7,7,0,0,7,7,0,0,7,7,0,2,5,5,0,0,5,5,0,3,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,1,1,,1,0,0,1
,,164S,M14,"1.5, 2",13.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,22,22,,,44.47,,,,,,,,,1,,1,TSB,5,20,100000,,,08/20/2025,,,11,0,0,11,11,0,1,10,10,1,1,10,10,0,1,9,9,0,2,7,7,0,0,7,7,0,0,7,7,0,0,7,7,0,0,7,7,0,2,5,5,0,4,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,0,0,1
,,164S,M16,"1.5, 2",15.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,T.04.0.031.001/00,,24,22,,,44.47,,,,,,,,,1,,59,TSB,5,20,100000,,,08/20/2025,,,73,0,2,71,71,0,0,71,71,0,2,69,69,0,0,69,69,0,0,69,69,0,0,69,69,0,4,65,65,0,4,61,61,0,0,61,61,0,0,61,61,0,2,59,59,0,0,59,59,0,0,59,59,0,0,59,59,0,0,59,59,0,0,59,,59,0,0,59
  ,,164S,M16,1.5,17.65,,,,,,,a,,,,,,,,,,,,4,031,Trim Dies,T.04.1.031.016/00,,24,35,,,45,,,,,,,6000,4000,1,,10,TSL-B-03,5,20,100000,40000,15,08/20/2025,,,11,0,20,0,0,5,0,5,5,7,8,4,4,0,4,0,0,0,0,0,0,30,17,13,13,0,6,7,7,0,4,3,3,0,3,0,0,10,10,0,0,5,5,0,0,5,5,0,0,4,4,0,0,9,8,1,1,0,1,0,0,10,10,0,,0,10,0,10
,,164S,M16,1.5,17.65,,,,,,,a,,,,,,,,,,,,4,031,Collar Trim Dies,,,38,20,,,55,,,,,,,,,1,,5,TSL-B-03,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,,5,0,0,5
,,254LL,M18,2.5,17.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,27,18,,,48,,,,,,,3000,,1,,15,TSR-09-D,5,20,30000,,,08/20/2025,,,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,0,18,18,0,1,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,,17,0,2,15
,,254LL,M20,2.5,19.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,T.05.0.031.002/00,,30,18,,,48,,,,,,,3000,,1,,5,TSR-09-C,5,20,30000,,,08/20/2025,,,5,0,0,5,5,0,0,5,5,0,2,3,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,5
,,254LL,M22,2.5,21.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,34,,,,,,,,,,,3000,,1,,1,TSR-08-C,5,20,30000,,,08/20/2025,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,0,0,1
,,254LL,M24,3,23.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,T.05.0.031.001/00,,36,35,,,63.5,,,,,,,2000,,1,,3,TSR-08-D,5,20,30000,,,08/20/2025,,,7,0,0,7,7,0,0,7,7,0,0,7,7,0,0,7,7,0,3,4,4,5,5,4,4,5,1,8,8,0,1,7,7,0,0,7,7,0,4,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,3,0,0,3,,3,0,0,3
,,254LL,M27,3,26.65,a,a,,,,,,,,,,,,,,,,,4,031,Trim Dies,,,39,25,,,65,,,,,,,2000,,1,,17,TSR-07-D,5,20,30000,,,08/20/2025,,,20,0,0,20,20,0,1,19,19,0,2,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,,17,0,0,17
,,TK250,M5,0.8,4.3,,,,,,,,,,,,,,,a,,,,1,044,K.O. Pin,T.07.0.044.003/00,,,,,,,,,,,,M2,,,1,,0,TSL-C-02,10,20,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,1,044,K.O. Pin,T.07.0.044.002/00,,,51,,,7.3,23,,,,,M2,,,1,,4,TSL-C-02,10,20,,,,,,,,,,,,,,,0,0,0,0,12,0,0,12,12,0,0,12,12,0,1,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,0,11,11,0,5,6,6,0,2,4,4,0,0,4,4,0,0,4,4,0,0,4,,4,0,0,4
,,TK250,M6,1,5.2,,,,,,,,,,,,,,,a,,,,1,044,K.O. Pin,T.07.0.044.001/00,,,50,,,5.2,,,,,,,,,1,,18,TSL-C-02,10,20,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,6,4,4,20,5,19,19,0,0,19,19,0,0,19,19,0,1,18,,18,0,0,18
,,64S,M5,0.8,5.75,,,,,,,,,,a,,,,,,,,,ALL,044,K.O. Pin,T.01.0.044.045/00,,,125,,,4.2,8,,,,,M2,,,1,,17,TSL-C-04,5,15,,,,05/06/2025,,,,,,,,,,,20,0,4,16,16,0,2,14,14,0,0,14,14,0,3,11,11,0,6,5,5,0,1,4,4,0,0,4,4,0,0,4,4,0,4,0,0,0,0,0,0,20,0,20,20,0,3,17,17,0,0,17,17,0,0,17,,17,0,0,17
,,64S,M5,0.8,5.75,,,,,,,,,,a,,,,,,,,,ALL,045,K.O. Pin Head,T.01.0.045.032/00,,,15,4.25,8,16,,,,,,,,,1,,0,TSL-C-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,,0,0,,,0,0,,,,0,0,
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,1,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,2,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,3,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,4,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,1,045,K.O. Pin Head,,,,,,,,,,,,,,,,1,,0,TSL-A-11,5,10,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,2,045,K.O. Pin Head,,,,,,,,,,,,,,,,1,,0,TSL-A-11,5,10,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,3,045,K.O. Pin Head,,,,,,,,,,,,,,,,1,,0,TSL-A-11,5,10,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,a,,,,,,,,,,,,,,,,,,4,045,K.O. Pin Head,,,,,,,,,,,,,,,,1,,0,TSL-A-11,5,10,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,,a,,,,,,,,,,,,,,,,,1,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,,a,,,,,,,,,,,,,,,,,2,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,64S,M5,0.8,4.3,,a,,,,,,,,,,,,,,,,,3,044,K.O. Pin,,,,125,,,,,,,,,M2,,,1,,0,TSL-A-11,5,15,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
