,,TOOL STORE STOCK INVENTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379,,5293,,,,,,,,,,11/01/2024,,,,12/01/2024,,,,01/01/2025,,,,02/01/2025,,,,03/01/2025,,,,04/01/2025,,,,05/01/2025,,,,06/01/2025,,,,07/01/2025,,,,08/01/2025,,,,09/01/2025,,,,10/01/2025,,,,11/01/2025,,,,12/01/2025,,,,01/01/2026,,,,02/01/2026,,,,,03/01/2026,,,
,S.No.,"M/C 
Name","Part
Size","Pitch
(mm)",Wire Dia,Part Name,,,,,,,,,,,,,,,,,,STN,Tool Family Code,Tool Description,Tool Code,Marking,A/F,"Length
(mm) ",I/D (mm),,O/D (mm),,"Carbide Dia
(mm)","Pointing Length 
(mm)",,"Depth
(mm)","Tool
Mtrl.",Assumed Life,Actual Life,Rng Stock,"Location 
(RaN-RoN-BN)",Spare Stock,"Location 
(RaN-RoN-BN)",Min. Qty.,Max. Qty.,Total Prod. Plan Qty.,Forgb. Qty.,Reqd. Qty.,Last Physical Stock Checked On,Remarks,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock,,Opening Stock,Incoming Stock,Consumed Stock,Closing Stock
,,,,,,HHB,HHS,SHCB,SHCS,HFB,HFS,FLG,SHFS,SHFB,TRXS,AXB,BHCS,DDB,SQB,THS,NIB,PINS,SSS,,,,,,,,FRONT,BACK,FRONT,BACK,,FRONT,BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6L4S,M10,1.5,,,,a,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,99,38,45,60,,,,,,,,,2,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,6L4S,"3/8""",,,a,,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,T.03.0.001.001/02,,,97,30,40,65,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,ALL,,,a,a,a,a,,,a,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,182,40,40,60,75,,,,,,,,1,,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,1,1,1,1,0,2,2,0,0,2,2,0,0,2,2,0,0,2,2,0,0,2,,2,0,0,2
,,84S,M8,1.25,,,a,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,109,,28,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,,a,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,115,25,25,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,84S,M8,1.25,,,a,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch Case,,,,114,26,28,45,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,164S,M10,1.25,13.65,,,,,,,a,,,,,,,,,,,,2,001,Cone Tool Punch case,T.04.1.001.029/01,,,,,,,,,,,,,2000000,1500000,1,TSR-07-B,1,TSR-07-B,1,2,200000,1500000,-0.866666666666667,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,,1,0,0,1
,,254LL,"M18,M20,M22",2.5,,a,a,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch case,T.05.0.001.006/00,,,,,,,,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,254LL,"M24, M27",3,,a,a,,,,,,,,,,,,,,,,,1,001,Cone Tool Punch case,T.05.0.001.002/00,,,197,60,50,92,120,,,,,,,,1,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
,,CH5L,M5,0.8,4.3,,,,,,,,,,,,,,,a,,,,1,001,Sliding Punch Case,,,,53.5,15,17,30.5,,,,,,,,,1,,5,TSL-C-01,1,2,,,,,,,,,,,,,,,0,0,0,0,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,5,0,0,5,,5,0,0,5
